Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20	DBS21	DBS22
CC>GG	9.92497253227667e-05	0.000452552941392457	8.28294504476818e-05	7.80726946480691e-05	1.24872358124119e-05	0.0193844694305878	0.00255501797100696	5.93888601421365e-05	0.00327205801788197	8.01795694434955e-18	0.00359253726388277	0.0225275797080676	0.000826331373032891	0.00231641682021865	6.33952873352423e-07	0.000194281759274946	0.00360590110754916	0.00557209244457808	0.00117254528608477	0.00315465350783649	0.0031533954729768	0.00101602967780069
CC>GT	0.00699575030041129	0.00110624130542895	1.30242170359114e-17	8.54521685257633e-05	2.60238191720855e-05	0.00368411976653971	0.000203154498067308	0.000242772115622817	0.0191404722089593	0.00116865996543507	0.0723713987469569	0.00770603732192879	0.0251888577851064	0.000539966138331281	0.000557408695456176	0.00300803848118366	0.010338803742741	0.0203299292510456	0.0132310392513377	0.00488389569893948	0.00498608860486416	0.0175397737211379
CC>TA	0.0105138448027549	0.0160907795166328	0.0237534664922794	0.000181894405684452	0.0013325601541821	0.00237754212111675	1.1271883228452e-17	0.000759058566114884	0.000734609693374082	0.0258620077696826	0.0612293268191937	0.0112677496898119	0.0444151770574857	0	0.0553758103042916	0.00783057918372487	0.000317767031885433	0.0242303399874895	0.0397750269655954	0.011682041029457	0.000723086515404631	0.00993014109009138
CC>TG	0.00257791357836114	0.000238344515617996	3.31317801790727e-05	8.87675843258867e-06	0.00504694196330895	0.00735753003822543	0.000294138795334665	0.00446318207276361	0.0165741517335141	8.01795694434955e-18	0.0336344773792876	0.0301061761589391	0.0102505036686647	0.000607288490594257	3.04640636264109e-05	0.000464400490068302	0.0345764180932243	0.0193117408133439	0.00614369851148382	0.00234213146609835	0.007878009186186	0.00575878153243465
CC>TT	0.867392191173827	4.19277211612336e-18	1.26814744823348e-17	7.48642277447238e-18	1.10181492462459e-17	8.88710330815064e-18	1.1271883228452e-17	0.0046434060529878	9.64829584525027e-18	0.0222911029809921	0.345716609137331	0.0014725390572634	0.000107072242384525	0.00693431810759533	0.0930098026228027	0.0179618674350448	0.000899104668123439	0.0342460269912214	0.0853629447474198	0.00688380627762165	0.00986696858171574	1.18988229876162e-07
CG>AT	6.02317958847427e-07	0.00114299801707947	0.00032053262812463	0.000306661758359275	0.00170066141383254	0.0079806330325202	7.65262311539789e-05	0.000337372535795462	0.000231437683968091	7.92418113530183e-18	0.00187302788089701	0.0309399475150144	0.000438127516685053	8.19095423595354e-09	0.000196546454083853	0.000142304158903927	0.00271196471448964	0.000873165276688544	0.00027524348079252	0.00169515528246389	0.00083564692170956	0.000442233945809322
CG>GC	5.41386954718584e-06	0.000366753305299538	1.25331554606995e-17	5.3906006536115e-06	0.000102877807093874	0.000624479658023258	0.000230341491160556	1.18436640751345e-17	1.26857455115956e-05	2.03184131674405e-05	0.00017083692785784	0.0883747603723731	0.00124255446945189	0.00153887043953056	2.92596583173191e-06	0.000206234325012266	0.00252229084335629	3.40130748061943e-05	4.91953199610265e-05	0.000175250797813798	0.000213679111807252	0.000289412253107552
CG>GT	1.69807716424649e-06	0.00127220701566916	1.25331554606995e-17	7.39886364221186e-18	0.00671968486724073	0.00340817487469406	2.5508743717993e-05	0.00126776466861596	0.000105080258654383	1.09077797004155e-05	0.00121438112114672	0.0991506083910419	0.00250865467493391	0.00020330736983765	0.000241887263017672	0.00158979765407261	0.00514242924150055	0.0017036082300685	9.94742372780228e-05	0.000281295235523715	0.000201308456114128	0.000488823307029158
CG>TA	0.000355688232643348	4.14373461192234e-18	0.110493575568448	7.39886364221186e-18	1.08892840169927e-17	8.78316220337833e-18	1.11400503966501e-17	0.0005301559435827	9.53545204288267e-18	0.382858272339075	7.59554264192723e-18	0.0314102919829617	0.000695814497226841	7.97473339432123e-08	9.22315316524191e-05	0.00192741265872021	0.00631618084236127	0.000269066660463759	0.00205346358424898	0.000593495911509858	2.62477011940197e-07	0.00100890657255417
CG>TC	1.25857483938269e-05	0.00213691002754951	0.000814876411113965	7.39886364221186e-18	3.09048251148936e-05	0.00943069501665467	6.00133245925728e-05	0.000948203745855265	0.000140553831686642	0.00283400692164377	0.000704957956533331	0.12311324955734	0.0023501794744895	0.000252193630243413	0.000654367875218245	0.00132101064259512	0.0060882151348615	0.00127519982089776	0.000321725472974197	0.00148220727759469	0.00270969855083062	2.3638196637348e-05
CG>TT	0.000123891709903423	0.0055261490690471	0.00809232877994716	0.000381741198678361	0.00230211390477911	0.0197928168714575	3.8571192191941e-05	0.00034470617451526	8.76373585759393e-05	0.00830952197980267	0.000719365815807631	0.113458479054498	0.0017439914011534	0.000135369509509473	0.00283385833558758	0.00391119577014955	0.0133081984480295	0.00268879694182992	0.00176270840730575	0.000454038304133951	0.00454926298299145	0.00307438256646836
CT>AA	2.69355021191796e-05	0.0031059150419895	0.000113169691992302	7.20280786474966e-18	0.470431747014656	0.00461615923464736	1.08448603043469e-17	0.0210115073431388	9.28278074711029e-18	0.00409151670954845	0.00440821040649489	0.0080780780093457	0.0637416117495027	0.000264174138173212	0.00386739531727128	0.0652532775421524	0.0109475917517984	0.0272882586144906	0.0107056378403288	0.0108579394404852	0.00309131471283184	0.0596037003855627
CT>AC	0.000407539981467979	4.0339335464854e-18	0.0319730546185721	7.20280786474966e-18	0.210987629149377	0.00200926646723363	1.21164921541928e-17	0.0142796653431567	9.28278074711029e-18	0.0135342798779792	0.0023543853311812	0.00795931400807049	0.0267581909798557	0.0111133529163959	0.0788803211561696	0.0885299025133713	0.0153498239106778	0.0268879740542907	0.00704605820940506	0.00644044479736627	0.0267909127598571	0.0327288514463404
CT>AG	2.77134227580008e-18	0.000567966234903284	0.125255265833349	0.000373684758940869	0.0269539219554892	0.0407005151239663	0.00151090857683752	0.0208075120073406	0.000598755824318542	0.0275891103834525	0.000496925354562275	0.00424111742274621	0.013730298693586	0	3.03420070700463e-06	0.0353437437590201	0.00854545975872772	0.00747277334576311	0.00279166846950401	0.000644554209783819	0.00155355076032043	0.0125650650329336
CT>GA	8.67381512285496e-05	1.75093998060877e-05	1.89061326793477e-05	0.000692809277278811	0.0162531142452665	0.00756308283716511	0.00224238000853346	0.00568126637774044	0.00292176553148417	7.71420544601226e-18	0.0116216455260379	0.00197920790974735	0.0011304753021291	0.0002505268662383	0.000290960239021665	0.00118894742391553	0.00580409327006959	0.00375064376780705	0.0033507844654477	0.00353643021232579	0.00207668881374193	0.00560331101676613
CT>GC	0.000245107234879743	0.000129654687138692	2.95683121554914e-05	7.42918182621323e-05	0.00489612484445145	0.00184440293837971	0.0187064818861766	0.000241734610666514	0.00319953988117744	7.71420544601226e-18	0.00612140085913681	0.000891810010335202	0.00400944707976004	0.00544588307075721	0.000343180484454906	0.00945228423937304	0.011665117979013	0.00125921167361164	0.00354902566827495	0.000716300691814149	0.00220517322705771	0.00507228517934476
CT>GG	1.05019286240845e-05	8.68698399219159e-05	6.58417062495888e-05	0.000953255606860294	0.000575421224375889	0.00701697542396588	0.00479653415533192	0.000312112486245719	0.010699424681967	7.71420544601226e-18	0.0040275014170189	0.0114325493790402	0.00273812203598788	0.000117256092563618	0.000250010913969784	0.00438330238204036	0.00814771563729857	0.00204149732560092	0.00106516288296834	0.000568671115840587	0.00248748480188009	0.00472494425108611
CT>TA	0.00759638045207579	0.0032704027936706	0.00020216591480529	7.20280786474966e-18	0.00337176385125632	9.106717874644e-05	1.08448603043469e-17	0.0111177391687943	9.28278074711029e-18	0.00419562725146862	0.0417778124437236	0.0106185896331097	0.0321196802676784	0.00172016545067901	0.00353185916092411	0.0189649732961987	0.000959075050042877	0.00979162410025988	0.0753146164767243	0.0204422997094035	0.0113101697165193	0.0153909007631004
