Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD51803	8570	0.984	41173808.0	480441.167%	3328297.857	472189.724%	0.03435	0.966
PD51805	3167	0.94	16785102.0	530000.063%	1403324.162	527733.317%	1000.0	0.882
PD51806	20419	0.995	201676899.0	987692.34%	21911838.125	978319.86%	0.02046	0.992
PD51812	9490	0.974	62406242.0	657600.021%	4995082.807	671743.833%	1000.0	0.941
PD51814	6177	0.974	29203189.0	472773.013%	2352256.709	462327.499%	0.04552	0.945
PD51815	5524	0.962	36325826.0	657600.036%	2907546.494	628706.097%	1000.0	0.922
PD51816	6185	0.976	79563840.0	1286400.0%	6248742.871	1305506.871%	0.04115	0.945
PD51817	7211	0.947	30870309.0	428100.25%	2473847.206	385210.64%	1000.0	0.906
PD51818	4688	0.966	20964754.0	447200.384%	1599572.648	453167.641%	1000.0	0.914
PD51820	3980	0.971	44576676.0	1120016.985%	3519744.699	1128621.96%	0.05392	0.934
PD51821	6675	0.967	35377512.0	530000.18%	2957730.875	525522.641%	1000.0	0.936
PD51823	6319	0.969	33490710.0	530000.158%	2799999.306	541278.217%	1000.0	0.938
PD52255	4476	0.954	23722802.0	530000.045%	1983355.579	539162.387%	1000.0	0.907
PD52256	5995	0.961	31773504.0	530000.067%	2656432.915	537282.807%	1000.0	0.921
PD52257	2707	0.887	12105712.0	447200.296%	923655.927	442966.056%	1000.0	0.724
PD52258	4928	0.918	21096792.0	428100.487%	1690677.367	423384.407%	1000.0	0.823
PD52259	3466	0.948	14837968.0	428100.635%	1189079.228	404037.578%	1000.0	0.898
PD52261	4297	0.957	18395475.0	428100.419%	1474187.43	429343.617%	1000.0	0.906
PD52262	4925	0.952	32386804.0	657600.081%	2592278.057	645138.774%	1000.0	0.898
PD52263	7182	0.962	35156664.0	489510.777%	2760883.085	485982.1%	0.05674	0.914
PD52264	3733	0.913	15980989.0	428100.429%	1280698.142	415988.72%	1000.0	0.819
PD52265	4166	0.915	22079802.0	530000.048%	1845992.134	517562.011%	1000.0	0.835
PD52266	13488	0.959	105346422.0	781038.123%	9413975.536	764697.969%	0.0774	0.929
PD52267	4539	0.875	24056708.0	530000.176%	2011273.104	497101.85%	1000.0	0.769
PD52268	9243	0.873	39569311.0	428100.303%	3171017.318	384762.22%	1000.0	0.76
PD52269	6440	0.909	27569654.0	428100.217%	2209375.887	392959.457%	1000.0	0.824
PD52270	5989	0.946	26782822.0	447200.234%	2043467.267	430112.142%	1000.0	0.876
PD52271	1449	0.898	8538080.0	589239.476%	701029.63	594840.987%	0.20323	0.788
PD52272	4551	0.922	20352086.0	447200.308%	1552831.395	437910.994%	1000.0	0.813
PD52273	6963	0.97	30559615.0	438885.753%	2336584.097	436252.665%	0.04924	0.927
PD52274	5096	0.945	21816000.0	428100.471%	1748305.346	426154.9%	1000.0	0.881
PD52275	6314	0.957	30337672.0	480482.61%	2357601.828	473626.052%	0.0623	0.902
PD52276	1433	0.909	6408384.0	447200.558%	488945.569	417445.022%	1000.0	0.801
PD52277	1769	0.903	7910974.0	447200.339%	603592.301	421597.999%	1000.0	0.783
PD52278	4310	0.897	18451124.0	428100.325%	1478649.165	404389.098%	1000.0	0.791
PD52280	5338	0.862	22851988.0	428100.187%	1831317.249	377417.138%	1000.0	0.746
PD52281	3173	0.948	13583629.0	428100.504%	1088570.471	421474.054%	1000.0	0.889
PD52282	2687	0.903	12016268.0	447200.149%	916817.556	418542.171%	1000.0	0.785
PD52283	4749	0.911	21237538.0	447200.211%	1620398.592	443273.223%	1000.0	0.782
PD52284	5415	0.93	23181629.0	428100.259%	1857734.116	407632.164%	1000.0	0.858
