Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.808	5799	1.0	128.833	2.222%	18.64	2.756%	0.00098	0.998
SP.Syn.Abst.809	10016	1.0	201.17	2.008%	29.054	2.503%	0.00072	0.999
SP.Syn.Abst.810	12288	1.0	24.074	0.196%	2.811	0.198%	0.0	1.0
SP.Syn.Abst.811	10679	1.0	248.118	2.323%	35.591	2.872%	0.00091	0.998
SP.Syn.Abst.812	6065	1.0	23.141	0.382%	2.723	0.387%	2e-05	1.0
SP.Syn.Abst.813	12200	0.999	382.245	3.133%	55.53	3.927%	0.00162	0.997
SP.Syn.Abst.814	8992	1.0	142.289	1.582%	20.261	1.937%	0.00044	0.999
SP.Syn.Abst.815	12052	1.0	23.867	0.198%	2.804	0.2%	0.0	1.0
SP.Syn.Abst.816	9096	0.999	305.068	3.354%	44.202	4.198%	0.00183	0.996
SP.Syn.Abst.817	10298	1.0	79.193	0.769%	11.128	0.929%	0.00011	1.0
SP.Syn.Abst.818	6410	1.0	21.861	0.341%	2.644	0.357%	1e-05	1.0
SP.Syn.Abst.819	13171	1.0	203.337	1.544%	29.101	1.904%	0.00039	0.999
SP.Syn.Abst.820	13398	1.0	22.636	0.169%	2.706	0.175%	0.0	1.0
SP.Syn.Abst.821	8365	0.999	326.694	3.905%	47.604	4.781%	0.00305	0.996
SP.Syn.Abst.822	11701	0.999	324.282	2.771%	47.027	3.37%	0.00162	0.998
SP.Syn.Abst.823	5336	1.0	64.798	1.214%	9.144	1.477%	0.00022	1.0
SP.Syn.Abst.824	10898	1.0	133.294	1.223%	19.224	1.514%	0.00028	1.0
SP.Syn.Abst.825	6425	0.999	239.588	3.729%	34.432	4.618%	0.00229	0.996
SP.Syn.Abst.826	8952	1.0	24.865	0.278%	2.935	0.282%	1e-05	1.0
SP.Syn.Abst.827	11975	1.0	140.621	1.174%	20.067	1.443%	0.00024	1.0
SP.Syn.Abst.828	6849	1.0	24.001	0.35%	2.86	0.359%	1e-05	1.0
SP.Syn.Abst.829	11456	1.0	23.729	0.207%	2.8	0.211%	1e-05	1.0
SP.Syn.Abst.830	7181	0.999	243.719	3.394%	35.022	4.148%	0.00201	0.997
SP.Syn.Abst.831	8614	0.999	354.792	4.119%	51.085	5.041%	0.00297	0.995
SP.Syn.Abst.832	20462	1.0	25.607	0.125%	2.968	0.125%	0.0	1.0
SP.Syn.Abst.833	10733	0.999	338.818	3.157%	49.159	3.941%	0.00165	0.997
SP.Syn.Abst.834	17223	1.0	442.31	2.568%	64.151	3.135%	0.0014	0.998
SP.Syn.Abst.835	13962	0.999	394.211	2.823%	56.959	3.43%	0.00163	0.998
SP.Syn.Abst.836	5347	1.0	27.193	0.509%	3.081	0.498%	3e-05	1.0
SP.Syn.Abst.837	10955	1.0	24.021	0.219%	2.848	0.224%	1e-05	1.0
SP.Syn.Abst.838	7431	0.999	197.984	2.664%	28.938	3.361%	0.00114	0.998
SP.Syn.Abst.839	16711	1.0	297.638	1.781%	43.036	2.219%	0.00053	0.999
SP.Syn.Abst.840	12275	0.999	389.196	3.171%	56.187	3.898%	0.00187	0.997
SP.Syn.Abst.841	8354	1.0	24.648	0.295%	2.83	0.287%	1e-05	1.0
SP.Syn.Abst.842	7409	1.0	23.904	0.323%	2.846	0.332%	1e-05	1.0
SP.Syn.Abst.843	18128	0.999	521.53	2.877%	75.4	3.513%	0.00173	0.998
SP.Syn.Abst.844	7142	0.999	339.852	4.758%	47.455	5.536%	0.00207	0.996
SP.Syn.Abst.845	5721	1.0	21.63	0.378%	2.677	0.401%	3e-05	1.0
SP.Syn.Abst.846	10556	1.0	23.455	0.222%	2.779	0.225%	1e-05	1.0
SP.Syn.Abst.847	11457	1.0	63.751	0.556%	9.063	0.673%	7e-05	1.0
SP.Syn.Abst.848	6372	1.0	153.898	2.415%	22.032	2.984%	0.00096	0.998
SP.Syn.Abst.849	7764	1.0	18.636	0.24%	2.289	0.252%	1e-05	1.0
SP.Syn.Abst.850	3957	1.0	23.541	0.595%	2.777	0.607%	4e-05	1.0
SP.Syn.Abst.851	6805	1.0	25.279	0.371%	2.97	0.371%	2e-05	1.0
SP.Syn.Abst.852	17091	0.999	563.042	3.294%	81.817	4.075%	0.00201	0.997
SP.Syn.Abst.853	8360	1.0	115.43	1.381%	16.684	1.72%	0.00038	0.999
SP.Syn.Abst.854	14691	1.0	21.909	0.149%	2.603	0.153%	0.0	1.0
SP.Syn.Abst.855	14200	1.0	23.525	0.166%	2.789	0.169%	0.0	1.0
SP.Syn.Abst.856	11320	1.0	41.822	0.369%	5.689	0.429%	2e-05	1.0
SP.Syn.Abst.857	12471	1.0	24.498	0.196%	2.909	0.197%	0.0	1.0
SP.Syn.Abst.858	5323	1.0	27.545	0.517%	3.173	0.506%	2e-05	1.0
