Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
AT>CG	2.16211855171405e-06	2.22012788020474e-18	0.00936198149836718	5.6950179222501e-18	6.56310938761388e-18	1.1241358376588e-06	0.000934033930526921	0.00016843594958179	5.63055824022911e-18	0.00123776553498216	1.01235164805388e-05	0.000573880695096765	1.47315158648354e-06	3.82854865400089e-08	1.85260279016261e-07	0.00245091523309181	0.000884536251815262	0.00045134164511683	0.000194174108123359	0.00117560444990033
AT>GA	0.00115197404812391	8.94631675007396e-05	0.00116062924610761	0.000195138645286233	0.000693756915636929	0.00100081937158174	0.0121171919083015	0.000102581202110432	0.00388879878930026	3.85172155179244e-05	0.00651584196640478	0.00271410851626728	0.00134902750087906	0.00368285354160722	0.00484140748906622	0.00319112693835806	0.00887487553505161	0.00160439431630604	0.00664289583021681	0.00640118662413526
AT>GC	9.45486837222413e-05	3.11456788949586e-06	0.00336646612331238	1.05953821809304e-05	6.56310938761388e-18	1.06237013229294e-05	0.00781727185103509	0.000143107687819026	0.00110498056602539	0.00194983941513993	0.00243180538427903	0.00170798538611053	0.000189865213849537	0.000413828437279619	0.00907228417082597	0.00101420891668008	0.00682422791845556	0.00030051689984633	0.00152494844622617	0.000278870154190094
AT>TA	0.00127151856069074	0.000243893026747758	0.00150689409113897	0.00272833017592082	0.000495629769443641	0.00135913705217843	0.028610036286466	0.000199463941226795	0.0056164757377324	0.00140025227238076	0.00223400292666385	0.00114051279544902	0.00664960014661539	0.00813472233210879	0.00762037713294205	0.00439393159113193	0.00782929782411276	0.00486096624549508	0.00800533062691088	0.00221836890396193
CC>AA	1.08629531246135e-05	0.727307425858671	0.0109957389523042	7.94964266919803e-18	1.23809865507468e-17	9.67099384579195e-18	1.4356268014833e-17	0.0455118430682715	1.03913669327053e-17	0.0123510775241793	8.06705641555959e-18	0.0130735303098816	6.11863421608154e-07	0.00437494200330878	0.0198372168578113	0.0433083639546436	0.000415113634514218	0.0121619180543379	0.0253174627477413	0.000540993117589398
CC>AG	1.26051248521458e-05	0.0729316561079097	1.34328027360463e-17	0.00616941786046964	0.0286507572580313	0.0717904905348705	0.000131810867835303	0.0185153170286311	0.0304036419979769	6.42769085394386e-05	0.00106675461363272	0.0157485489372288	0.0139304292966859	0.000181598827852122	1.04146381913209e-05	0.0135430295338084	0.00142963035579451	0.0545990301827783	0.00773316876224509	0.00567433199737575
CC>AT	0.0191687609348515	0.100456826304401	0.00712485175370441	0.0178379124556244	0.00286507584371729	0.000510458358780527	0.0013524604962102	0.0344026521341159	0.0224572358285139	0.00946615407654266	0.0378631935537573	0.0118931828686967	0.0516224207111318	0.000794026120157537	0.0340319516610747	0.02329763395735	0.00086107215095121	0.113743422127328	0.103829913003101	0.00790851251481759
CC>GA	0.000137358967840042	0.017780858049986	0.00076812880596902	0.00403341360806072	7.97099705552844e-05	0.0413727668467139	0.000479392950151507	0.000966379663431193	0.0126681845498358	0.003056215549148	0.00104590209596752	0.0100479293838252	1.24042487031673e-05	0	1.04029887078854e-05	0.00377277248688943	0.000882238544106892	0.0183163723584477	0.00474479743894668	0.001215878320092
CC>GG	0.000100636037437457	0.000452055474813549	8.77367746273293e-05	8.29034164073509e-05	1.40317847575131e-05	0.0210942843879428	0.00325416099786266	6.69178411500594e-05	0.00352405813775397	6.68011069112539e-18	0.00378631957488747	0.0172463489410034	0.000917718798574058	0.00297479535671632	6.88484471036988e-07	0.000222140318253948	0.00388696519841794	0.00597573947536602	0.00131498332506631	0.00383366201630587
CC>GT	0.00709346637328976	0.00110502527515421	1.37958514586421e-17	9.07394927527033e-05	2.92427110912877e-05	0.00400907903891355	0.0002587447335607	0.000273549379968401	0.0206145907192988	0.000973661742458557	0.0762751291385162	0.00589948011853152	0.0279745983976825	0.000693436840499333	0.000605356087138075	0.00343936882198301	0.0111446679048336	0.0218026463066102	0.0148383147288941	0.00593510678307887
