Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
1:Del:C:0	0.000159889	0.004824116	0.124727109	0.007249717	0.022202108	0.030506799	0.000466561	0.039827558	0.33493988	0.025105414	0.001576565	0.052787741	0.065548371	0.012016009	0.026527369	0.000952769	0.006117599	0.006012048	0.054089076	0.006578444	0.00138887	0.002569923	0.05169788
1:Del:C:1	0.000773523	2.21E-05	0.20887617	0.002734869	0.028547215	0.005491903	1.00E-18	0.023915938	0.099994226	0.02930632	0.000550318	0.014674665	0.017536463	0.001946232	0.121009787	2.64E-18	0.003667555	0.002004016	0.015008861	0.003268685	0.004836623	0.001730933	0.1061941
1:Del:C:2	3.31E-18	3.11E-06	0.176324218	0.002041063	0.026596927	0.008033994	0.008561945	0.003330554	0.002690655	0.018804056	0.000357338	0.000561932	0.005120219	0.000683696	0.147828864	8.15E-05	0.001220327	0.002004016	0.001849447	0.002094676	0.001284341	0.000798746	0.05287559
1:Del:C:3	0.001907613	0.002472076	0.064042764	0.001112283	0.014159122	0.001102379	0.042360147	0.005403153	0.010625416	0.01650356	9.08E-18	0.000995577	0.005350516	0.000487468	0.136006058	0.001624914	2.26E-08	0.004008032	0.006563183	0.002189543	0.002792894	0.001532915	0.03862287
1:Del:C:4	0.00070599	0.003856976	0.043989808	0.001075684	0.002873422	0.00247817	0.114891908	0.001275709	0.012496902	0.002930632	9.08E-18	0.00224005	0.004346005	0.002071921	0.084197696	0.003378643	1.94E-08	1.00E-18	0.008206888	0.000481952	0.005253476	0.002421533	0.01125206
1:Del:C:5	0.003370115	0.014615424	0.022417486	0.002246178	0.002602449	0.001322073	0.25176314	0.000933729	4.48E-05	8.42E-18	0.000156465	0.029410808	0.000843056	0.002370276	0.018458293	2.65E-18	0.001220933	0.002004016	0.000336114	2.24E-09	0.014248202	0.005329239	0.00573968
1:Del:T:0	0.001311605	0.007905966	0.03759923	0.006635052	0.101481148	0.004284162	0.00266749	0.034243687	0.105105373	0.028306105	0.000944206	0.045135118	0.053698762	0.018309803	0.023951637	0.00062865	0.006088347	0.08617269	0.018543991	0.004058988	0.062891728	0.00318728	0.21323872
1:Del:T:1	3.31E-18	3.95E-18	0.013309824	0.001622466	0.10609961	0.000677688	0.007732725	0.010452076	0.044293641	8.42E-18	0.000258505	1.42E-17	0.498224165	0.000852559	0.07996011	0.00015704	0.004903196	0.17234538	0.00460977	0.00339319	0.005917236	0.002365559	0.11431327
1:Del:T:2	0.000936453	0.007036418	0.016501851	0.002633405	0.114128463	0.011659665	0.00025476	0.00899203	0.085861956	0.001510326	0.000516519	0.010969204	0.023777805	0.010856423	0.120410466	2.66E-18	0.001225482	0.118236947	0.008737993	0.003778359	0.005145233	0.001846387	0.05769072
1:Del:T:3	0.002295855	0.020234743	0.020141477	0.000306038	0.088962207	0.022242391	0.028972742	0.009825045	0.113250663	0.001420306	0.00042568	0.022109366	0.062780952	0.01718395	0.113431215	2.66E-18	0.00122381	0.23847791	0.022644132	0.005646206	3.08E-05	0.000102636	0.03864648
1:Del:T:4	0.004291422	0.047119925	0.015814364	0.001023202	0.052259532	0.017697141	0.158850552	0.00127378	0.094412737	0.00241052	0.001932451	0.044077964	0.023004382	0.013347903	0.079178832	0.001001651	1.34E-09	0.090180723	0.020523528	0.002665711	0.000336067	0.000383304	0.0199045
1:Del:T:5	3.31E-18	0.814697227	0.008066314	0.000154442	0.030610523	0.007954345	1.92E-07	0.010620342	0.000929835	1.27E-17	0.006539395	0.000348512	0.006079575	0.038616999	0.046903215	2.79E-18	4.63E-08	0.070140562	0.001898312	0.009773246	0.034237057	0.008725468	0.00484058
1:Ins:C:0	3.31E-18	3.95E-18	0.002083092	6.62E-18	0.000542252	0.002086887	0.000672367	0.002764271	5.41E-18	8.42E-18	0.000186238	1.42E-17	0.002850428	0.454386958	6.58E-18	0.060271337	0.004878118	1.00E-18	0.016286282	0.001053993	0.000293515	0.005075683	0.00228553
1:Ins:C:1	3.31E-18	0.000227026	0.001578887	0.000272399	0.001242898	0.001773433	2.62E-05	0.002169119	1.93E-06	0.000345074	0.163482884	0.000167697	0.001652256	0.012777431	6.58E-18	0.136484095	0.014767199	0.002004016	0.033050286	0.010880956	0.001473486	0.001550607	0.00057783
