Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD51215	7306	0.935	2547.689	34.871%	92.005	35.494%	0.118	0.86
PD51216	3313	0.879	1690.423	51.024%	62.2	47.704%	0.25413	0.78
PD51217	6380	0.933	2358.469	36.967%	81.903	36.052%	0.13346	0.856
PD51218	3813	0.896	1740.961	45.659%	61.991	44.43%	0.20598	0.785
PD51219	8801	0.935	2946.792	33.482%	107.892	35.586%	0.10511	0.849
PD51220	4170	0.903	1887.74	45.27%	65.807	42.977%	0.19771	0.802
PD51221	5832	0.924	2308.07	39.576%	80.341	38.34%	0.14689	0.839
PD51222	3539	0.862	1859.578	52.545%	68.329	50.703%	0.25405	0.731
PD51223	3786	0.898	1813.807	47.908%	64.956	44.103%	0.23025	0.812
PD51224	3821	0.867	2006.852	52.522%	80.084	49.989%	0.25644	0.779
PD51225	6379	0.933	2290.068	35.9%	81.137	35.952%	0.1272	0.855
PD51226	3325	0.872	1697.436	51.051%	60.68	49.001%	0.24944	0.741
PD51227	3272	0.885	1640.31	50.132%	57.8	46.567%	0.24635	0.778
PD51228	7009	0.933	2487.37	35.488%	88.463	36.034%	0.12249	0.852
PD51229	3890	0.894	1878.004	48.278%	66.225	44.909%	0.22348	0.795
PD51231	7799	0.93	2726.371	34.958%	101.136	36.807%	0.11748	0.846
PD51232	3348	0.884	1669.449	49.864%	60.271	46.659%	0.24824	0.783
PD51233	5910	0.927	2250.393	38.078%	78.201	37.505%	0.14124	0.84
PD51234	6925	0.937	2398.666	34.638%	83.932	34.985%	0.11879	0.856
PD51235	6159	0.932	2231.78	36.236%	79.178	36.269%	0.12929	0.853
PD51236	2918	0.863	1563.965	53.597%	55.772	50.56%	0.27912	0.728
PD51237	4567	0.907	1983.072	43.422%	70.688	42.174%	0.17886	0.81
PD51238	5265	0.926	2035.226	38.656%	70.842	37.802%	0.14759	0.84
PD51239	5054	0.915	2099.346	41.538%	75.886	40.353%	0.16765	0.834
PD51240	4672	0.902	2058.149	44.053%	73.08	43.269%	0.18862	0.792
PD51241	3184	0.873	1646.172	51.701%	58.072	48.74%	0.26229	0.746
PD51242	6957	0.936	2442.345	35.106%	87.469	35.222%	0.11764	0.864
PD51243	4379	0.894	2001.389	45.704%	71.939	44.898%	0.19706	0.78
PD51244	4255	0.903	1905.067	44.772%	66.907	42.971%	0.19724	0.8
PD51245	2360	0.843	1445.768	61.261%	51.926	53.752%	0.35392	0.727
PD51246	5896	0.933	2164.199	36.706%	75.61	35.899%	0.13511	0.859
PD51247	5557	0.923	2193.594	39.474%	76.904	38.52%	0.15145	0.838
PD51248	3791	0.87	1841.871	48.585%	71.595	49.32%	0.22654	0.751
PD51250	5072	0.918	2056.865	40.553%	72.013	39.725%	0.16559	0.824
PD51251	4125	0.908	1857.507	45.03%	65.03	42.006%	0.19933	0.82
PD51252	6805	0.938	2422.397	35.597%	85.629	34.769%	0.11987	0.873
PD51253	4893	0.915	2041.769	41.728%	71.611	40.256%	0.16953	0.825
PD51254	5149	0.913	2186.231	42.459%	77.146	40.848%	0.17923	0.823
PD51255	7448	0.925	2706.297	36.336%	101.428	38.102%	0.12498	0.842
PD51256	4198	0.893	1967.517	46.868%	72.15	45.055%	0.218	0.795
PD51258	2892	0.862	1568.925	54.251%	54.982	50.736%	0.28133	0.722
PD51259	3093	0.877	1580.476	51.098%	55.808	48.062%	0.26139	0.756
PD51260	2993	0.882	1532.515	51.203%	53.084	47.125%	0.25588	0.768
PD51261	3719	0.897	1735.094	46.655%	61.067	44.19%	0.21167	0.794
PD51262	4273	0.909	1845.994	43.201%	63.72	41.629%	0.18666	0.805
PD51263	1860	0.804	1230.216	66.141%	43.723	59.477%	0.42306	0.629
PD51264	4899	0.906	2152.319	43.934%	78.111	42.423%	0.18098	0.818
PD51265	6090	0.923	2357.806	38.716%	82.591	38.575%	0.14005	0.828
PD51266	3041	0.882	1573.744	51.751%	55.329	47.077%	0.2644	0.779
PD51267	6582	0.929	2417.56	36.73%	83.992	37.088%	0.13149	0.835
PD51268	4064	0.892	1869.682	46.006%	67.706	45.173%	0.21304	0.781
PD51269	4557	0.901	2028.557	44.515%	72.782	43.307%	0.19293	0.801
PD51270	7320	0.938	2533.693	34.613%	87.001	34.708%	0.11173	0.855
PD51271	4461	0.913	1892.154	42.415%	66.588	40.91%	0.18033	0.82
PD51273	6312	0.934	2313.534	36.653%	81.408	35.851%	0.13498	0.862
PD51274	3240	0.868	1706.744	52.677%	59.863	49.69%	0.26669	0.731
PD51275	8865	0.947	2813.416	31.736%	98.513	32.145%	0.09723	0.879
PD51276	1666	0.795	1157.32	69.467%	41.206	60.729%	0.4586	0.627
PD51277	4032	0.893	1926.25	47.774%	69.73	44.999%	0.22263	0.799
PD51278	4277	0.902	1933.717	45.212%	67.285	43.269%	0.19909	0.795
PD51279	4797	0.917	1910.363	39.824%	68.429	39.943%	0.16042	0.821
PD51280	3985	0.906	1795.805	45.064%	61.884	42.308%	0.2035	0.809
PD51281	2052	0.832	1280.779	62.416%	44.2	55.528%	0.367	0.676
PD51282	5926	0.923	2334.727	39.398%	82.252	38.424%	0.15175	0.84
PD51284	4603	0.917	1927.259	41.87%	68.374	39.911%	0.17931	0.838
PD51285	4676	0.905	2053.747	43.921%	76.366	42.643%	0.18933	0.821
PD51286	6349	0.932	2313.267	36.435%	80.547	36.319%	0.12685	0.847
PD51287	7276	0.922	2703.84	37.161%	101.134	38.713%	0.12837	0.836
PD51288	5067	0.897	2227.053	43.952%	82.038	44.207%	0.18581	0.788
PD51289	5193	0.911	2177.74	41.936%	75.708	41.249%	0.16233	0.803
PD51290	2213	0.838	1348.804	60.949%	47.656	54.54%	0.35438	0.699
PD51291	4124	0.906	1784.845	43.279%	63.251	42.226%	0.18953	0.805
