Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.901	6372	1.0	25.005	0.392%	2.971	0.396%	2e-05	1.0
SP.Syn.Abst.902	7009	1.0	24.101	0.344%	2.823	0.344%	1e-05	1.0
SP.Syn.Abst.903	8650	1.0	25.353	0.293%	3.044	0.304%	1e-05	1.0
SP.Syn.Abst.904	9760	1.0	22.082	0.226%	2.772	0.24%	1e-05	1.0
SP.Syn.Abst.905	6278	1.0	23.119	0.368%	2.734	0.374%	2e-05	1.0
SP.Syn.Abst.906	16433	1.0	24.824	0.151%	3.07	0.158%	0.0	1.0
SP.Syn.Abst.907	6425	1.0	25.611	0.399%	3.015	0.402%	2e-05	1.0
SP.Syn.Abst.908	11215	1.0	23.652	0.211%	2.91	0.22%	1e-05	1.0
SP.Syn.Abst.909	11852	1.0	25.181	0.212%	3.029	0.22%	1e-05	1.0
SP.Syn.Abst.910	7894	1.0	23.856	0.302%	2.898	0.31%	1e-05	1.0
SP.Syn.Abst.911	5355	1.0	20.343	0.38%	2.442	0.385%	2e-05	1.0
SP.Syn.Abst.912	21877	1.0	32.553	0.149%	3.953	0.157%	0.0	1.0
SP.Syn.Abst.913	9860	1.0	28.844	0.293%	3.52	0.295%	1e-05	1.0
SP.Syn.Abst.914	8411	1.0	22.975	0.273%	2.754	0.281%	1e-05	1.0
SP.Syn.Abst.915	10539	1.0	25.272	0.24%	3.048	0.243%	1e-05	1.0
SP.Syn.Abst.916	14126	1.0	25.259	0.179%	3.08	0.188%	0.0	1.0
SP.Syn.Abst.917	6560	1.0	25.555	0.39%	3.054	0.393%	2e-05	1.0
SP.Syn.Abst.918	8619	1.0	23.636	0.274%	2.84	0.284%	1e-05	1.0
SP.Syn.Abst.919	10209	1.0	25.452	0.249%	3.026	0.25%	1e-05	1.0
SP.Syn.Abst.920	5939	1.0	20.295	0.342%	2.467	0.357%	1e-05	1.0
SP.Syn.Abst.921	11562	1.0	26.149	0.226%	3.184	0.238%	1e-05	1.0
